Brand,Product Title,Product Link,MRP,Selling Price,Number of Rating,Star Rating,description,Link of the Images,Number of Images,List of comments,Seller Name
Pantaloons Junior,Boys Conversational Printed Cotton Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-conversational-printed-cotton-shorts/27331548/buy,,599,,,"Product Details  Grey & blue conversational printed mid-rise regular shorts, has 3 pockets, drawstring closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Conversational Fit Regular Fit Number of Pockets 3 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24331512/2023/8/3/8b9fbcaa-f902-4f66-9de6-39f3e852d62b1691072227972Shorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24331512/2023/8/3/5f19dc6d-6b00-4630-b8f7-e54048089a6c1691072227988Shorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24331512/2023/8/3/b90b6e85-f8d7-4498-a9d3-9d1ef89331fa1691072227938Shorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24331512/2023/8/3/d12acc6f-773f-4f30-a410-b1e8de2ab8fb1691072227956Shorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
BUMZEE,Infant Boys Pack Of 3 Conversational Printed Mid-Rise Cotton Shorts,http://myntra.com//shorts/bumzee/bumzee-infant-boys-pack-of-3-conversational-printed-mid-rise-cotton-shorts/23567184/buy,1399,503,,,"Product Details  Yellow,blue,white conversational printed mid-rise regular shorts, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Conversational Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567188/2023/6/8/6daa10c2-d657-4340-a01f-14c29ced86001686212696709BUMZEEBoysYellowPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567188/2023/6/8/a4fa7694-7106-4e59-9a9f-920162c8b5fa1686212696672BUMZEEBoysYellowPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567188/2023/6/8/8d6934ba-2675-4b8f-95a6-957305002f441686212696728BUMZEEBoysYellowPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567188/2023/6/8/587308e0-7226-43f5-b9ea-b5f34ce58b811686212696653BUMZEEBoysYellowPrintedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567188/2023/6/8/1861b73a-ed90-4cab-9f11-fb9a9477b5041686212696690BUMZEEBoysYellowPrintedShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567188/2023/6/8/bf27f1ae-5c96-4452-916d-9548e2ae3b841686212696745BUMZEEBoysYellowPrintedShorts6.jpg']",6,,Aum 3 Etail
F&S,Boys Loose Fit High-Rise Rapid Dry Sports Shorts,http://myntra.com//shorts/technosport/technosport-boys-antimicrobial-technology-active-sports-shorts/21837276/buy,699,391,23,4.4,"Product Details  Grey & black solid high-rise sports shorts, has 2 pockets, drawstring closure engineered with rapid-dry technology Material & Care Polyester Machine Wash Specifications Waist Rise High-Rise Length Above Knee Type Sports Shorts Closure Drawstring Print or Pattern Type Solid Fit Loose Fit Number of Pockets 2 Occasion Sports See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22404054/2023/3/19/d2523100-fa5e-43f6-974e-ef431e7c813f1679212261930FSBoysGreyLooseFitHigh-RiseOutdoorShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22404054/2023/3/19/4e301fbd-4caf-45d5-a7e0-6bde91a68a6e1679212261899FSBoysGreyLooseFitHigh-RiseOutdoorShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22404054/2023/3/19/bab2cdd1-c31a-4c1a-b2b3-58cb65cc29621679212261915FSBoysGreyLooseFitHigh-RiseOutdoorShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22404054/2023/3/19/dd21cb69-78ca-484e-ac8e-69ea10d178441679212261945FSBoysGreyLooseFitHigh-RiseOutdoorShorts4.jpg']",4,,NARENDRA EMPORIS LIMITED
BUMZEE,Boys Pack Of 3 Conversational Printed Mid-Rise Cotton Shorts,http://myntra.com//shorts/bumzee/bumzee-boys-pack-of-3-conversational-printed-mid-rise-cotton-shorts/23567202/buy,1549,495,20,4.7,"Product Details  Yellow,black,white conversational printed mid-rise regular shorts, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Slip-On Print or Pattern Type Conversational Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567208/2023/6/8/e9727405-a0ec-46dd-b91f-5d8c16276dc21686213459974BUMZEEBoysYellowFloralPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567208/2023/6/8/ea7724d1-53b1-4069-93c1-883163aa37761686213459992BUMZEEBoysYellowFloralPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567208/2023/6/8/a0237576-93ae-409e-bd96-b83a655efad71686213459958BUMZEEBoysYellowFloralPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567208/2023/6/8/dbe84bfa-36a3-4d7a-ad74-d3243131120d1686213460005BUMZEEBoysYellowFloralPrintedShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567208/2023/6/8/8a831c08-951f-40b8-b6f6-edf5c39af8871686213459941BUMZEEBoysYellowFloralPrintedShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567208/2023/6/8/bc4df656-d69b-4a0c-8b04-c212069a5a3b1686213460019BUMZEEBoysYellowFloralPrintedShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23567208/2023/6/8/4adea6eb-a2d9-463f-91bc-8fcda19c3e031686213460034BUMZEEBoysYellowFloralPrintedShorts7.jpg']",7,"['Great quality shorts for kids', 'Good comfort', 'The colours as it is ,, cotton quality superb']",Aum 3 Etail
Pantaloons Baby,Infants Boys Typography Printed Denim Shorts,http://myntra.com//shorts/pantaloons+baby/pantaloons-baby-boys-yellow-printed-shorts/22032414/buy,,499,23,4.4,"Product Details  Blue typography printed solid mid-rise denim shorts, has 2 pockets, slip-on closure Material & Care 70% Cotton, 28% Polyester & 2% Elastane Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Denim Shorts Closure Slip-On Print or Pattern Type Typography Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27071684/2024/1/19/f236993a-8cfc-4fd9-be1b-3f69bc997e781705668354125Shorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27071684/2024/1/19/fb823992-2cb8-4517-a62f-01f62d42561b1705668354117Shorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27071684/2024/1/19/83d70e4b-cfa6-4837-b040-965979ef1cd71705668354132Shorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27071684/2024/1/19/c6ded8ea-af74-4c79-9d73-1057c071a0bf1705668354139Shorts4.jpg']",4,"['Myntra never disappoint us 🤩', 'Must buy it.', 'Very good']",Westbury Holdings Pvt Ltd_Pantaloons
F&S,Boys Colourblocked Rapid-Dry High-Rise Shorts,http://myntra.com//shorts/f%26s/fs-boys-colourblocked-high-rise-outdoor-sports-shorts-with-technology/24000564/buy,1398,699,5,3.6,"Product Details  Grey colourblocked high-rise outdoor regular shorts,  has 2 pockets, drawstring closure engineered with rapid-dry technology Material & Care Polyester Machine Wash Specifications Waist Rise High-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Colourblocked Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067772/2023/7/17/7d58b624-5392-45fd-91e1-b5485ae546501689603627142FSBoysGreyColourblockedHigh-RiseOutdoorwithTechnologyShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067772/2023/7/17/3debaa07-85ba-4c7e-b139-f69bea5926001689603627190FSBoysGreyColourblockedHigh-RiseOutdoorwithTechnologyShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067772/2023/7/17/db573e16-4a14-48c0-8428-b75f4adf73161689603627207FSBoysGreyColourblockedHigh-RiseOutdoorwithTechnologyShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067772/2023/7/17/ed735f6f-7495-49b4-9cab-55dedb005ad21689603627127FSBoysGreyColourblockedHigh-RiseOutdoorwithTechnologyShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067772/2023/7/17/f849edbe-1d3b-4b0c-9762-b433839bc9f71689603627157FSBoysGreyColourblockedHigh-RiseOutdoorwithTechnologyShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24067772/2023/7/17/0f74a9ef-a02d-4f92-992d-32eb1930db171689603627174FSBoysGreyColourblockedHigh-RiseOutdoorwithTechnologyShorts6.jpg']",6,['Best purchase'],NARENDRA EMPORIS LIMITED
KiddoPanti,Boys Mid-Rise Pure Cotton Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-mid-rise-pure-cotton-shorts/27331546/buy,529,396,5,4.4,"Product Details  Black solid mid-rise regular shorts,  has 2 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27544784/2024/3/5/e9bf2780-e026-483d-bf01-e6180a7d7c721709626053272-KiddoPanti-Boys-Mid-Rise-Pure-Cotton-Shorts-351709626052973-4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27544784/2024/3/5/56e72733-4968-4d9f-810f-ff44f79901971709626053300-KiddoPanti-Boys-Mid-Rise-Pure-Cotton-Shorts-351709626052973-2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27544784/2024/3/5/09bcfba7-5b6c-43b7-a380-cb7c9aa1a8d21709626053313-KiddoPanti-Boys-Mid-Rise-Pure-Cotton-Shorts-351709626052973-1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27544784/2024/3/5/61786729-bbcb-4937-bbfa-88346112f6bd1709626053287-KiddoPanti-Boys-Mid-Rise-Pure-Cotton-Shorts-351709626052973-3.jpg']",4,,Krimson Apparel Private Limited
V-Mart,Boys Printed Cargo Shorts,http://myntra.com//shorts/v-mart/v-mart-boys-blue-printed-shorts/17950028/buy,499,474,4,4.8,"Product Details  Green graphic printed mid-rise cargo shorts,  has 2 pockets, button closure Size & Fit Regular Fit  Material & Care Hand Wash,Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Cargo Shorts Closure Button Print or Pattern Type Graphic Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27811632/2024/2/23/12fc4a63-8d2d-4882-9452-0cc976f9e0ca1708672588372V-MartBoysPrintedCargoShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27811632/2024/2/23/423d4860-4ccd-4047-9b8d-6df1d6dc8b091708672588393V-MartBoysPrintedCargoShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27811632/2024/2/23/eab5784c-7c3f-4da0-ae6d-baf8e1df85cf1708672588399V-MartBoysPrintedCargoShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27811632/2024/2/23/7025cfdd-d514-4147-bcb4-ccad949499eb1708672588387V-MartBoysPrintedCargoShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27811632/2024/2/23/db6584e6-9f3e-444f-8633-919d717ae9b71708672588366V-MartBoysPrintedCargoShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27811632/2024/2/23/50e609d6-31a1-4d2e-9cdf-46a12686c7fe1708672588405V-MartBoysPrintedCargoShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27811632/2024/2/23/c63b33d3-9d4b-440f-9603-6fc1f0f4ae431708672588380V-MartBoysPrintedCargoShorts7.jpg']",7,['Good fabric'],V-Mart Retail Limited
MIST N FOGG,Kids Pack of 3 Regular Fit Mid-Rise Cotton Regular Shorts,http://myntra.com//shorts/mist+n+fogg/mist-n-fogg-kids-pack-of-3-regular-fit-mid-rise-cotton-regular-shorts/24859642/buy,1299,363,6,4.5,"Product Details  Green solid mid-rise regular shorts, slip-on closure Pink solid mid-rise regular shorts, slip-on closure Black solid mid-rise regular shorts, slip-on closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Slip-On Print or Pattern Type Solid Fit Regular Fit Occasion Casual Knit or Woven Knitted See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24859642/2023/9/7/1860919a-b360-4fd0-8b8f-046b7ec7fd791694088437188MISTNFOGGUnisexKidsMulticolouredShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24859642/2023/9/7/247cf987-050b-47ba-9cb6-de064f3962941694088437230MISTNFOGGUnisexKidsMulticolouredShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24859642/2023/9/7/a3287fe0-d58c-4f8f-aa49-dc48bc76b1b31694088437167MISTNFOGGUnisexKidsMulticolouredShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24859642/2023/9/7/c19ec620-5deb-4e81-ad59-9211ebbe65a71694088437210MISTNFOGGUnisexKidsMulticolouredShorts4.jpg']",4,,VEERAA CLOTHING
Minicult,Boys Pack Of 3 Avengers Printed Cotton Shorts,http://myntra.com//shorts/albion/albion-boys-floral-printed-outdoor-shorts/28637658/buy,2299,643,,,"Product Details  Pack of 3 Yellow, grey melange and black avengers printed mid-rise regular shorts, has 2 pockets, drawstring closure Material & Care Cotton  Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Superhero Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25192800/2023/9/27/03f52b2c-bdf0-44b3-9877-0159fe6e7d761695794699436MinicultBoysGreyAvengersShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25192800/2023/9/27/483f2d25-fd7a-43ad-ba51-aca9eadaccbf1695794699477MinicultBoysGreyAvengersShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25192800/2023/9/27/05f44863-1ead-4725-9139-e17b8a2b0a6d1695794699417MinicultBoysGreyAvengersShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25192800/2023/9/27/decacb61-60bc-4e25-a696-93543a93f0421695794699457MinicultBoysGreyAvengersShorts4.jpg']",4,,LAVIAN LLP
Pantaloons Junior,Boys Floral Printed Cotton Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-typography-printed-shorts/27331544/buy,,599,,,"Product Details  White floral printed mid-rise regular shorts,  has 2 pockets, drawstring closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Regular Shorts Closure Drawstring Print or Pattern Type Floral Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880784/2024/4/12/1c374d6c-1ab6-42ee-8ca2-e55bc14223b41712903063727PantaloonsJuniorBoysFloralPrintedShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880784/2024/4/12/e5da9f22-c932-487c-bdf0-c9694d922e431712903063750PantaloonsJuniorBoysFloralPrintedShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880784/2024/4/12/e93aa73f-e7ab-4c8f-8d2d-d6074bfe9dbe1712903063762PantaloonsJuniorBoysFloralPrintedShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28880784/2024/4/12/f8fb1576-54d9-4f12-a1d1-f707553d8cfe1712903063739PantaloonsJuniorBoysFloralPrintedShorts4.jpg']",4,,Westbury Holdings Pvt Ltd_Pantaloons
max,Boys Mid-Rise Cotton Regular Shorts,http://myntra.com//shorts/max/max-boys-mid-rise-cotton-regular-shorts/28114214/buy,,549,,,"Product Details  Beige solid mid-rise regular shorts, has 4 pockets, button closure Material & Care 100% Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Button Print or Pattern Type Solid Fit Regular Fit Number of Pockets 4 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28114214/2024/3/29/9eb125bc-904b-4eef-a580-36659b259aa21711703920489maxBoysMid-RiseCottonRegularShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28114214/2024/3/29/9543a593-4e3a-44f2-95e3-9fafe1f291061711703920573maxBoysMid-RiseCottonRegularShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28114214/2024/3/29/2fb250ff-d594-4b5d-9cff-e7d4e9a0502e1711703920602maxBoysMid-RiseCottonRegularShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28114214/2024/3/29/62b443a9-902d-4ff3-b7eb-1cb27f6c9c541711703920631maxBoysMid-RiseCottonRegularShorts4.jpg']",4,,Landmark Online India Pvt Ltd
H&M,Boys Printed Sweatshorts,http://myntra.com//shorts/h%26m/hm-boys-printed-sweatshorts/23517306/buy,,499,10,5,"Product Details  Knee-length shorts in lightweight sweatshirt fabric with an all-over print and an elasticated, drawstring waist. Material & Care 80% Cotton & 20% Polyester Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Regular Shorts Closure Drawstring Print or Pattern Type Graphic Fit Regular Fit Number of Pockets 2 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28659366/2024/4/3/3847dd3d-7704-4aee-8d2e-4b5e2b9bb2ae1712142124783Printedsweatshorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28659366/2024/4/3/bfa8ac73-637c-4d3d-8876-d7d072d9b2281712142124803Printedsweatshorts2.jpg']",2,['Loved it'],H & M Hennes & Mauritz Retail Private Limited
Pantaloons Junior,Boys Mid Rise Cotton Cargo Shorts,http://myntra.com//shorts/pantaloons+junior/pantaloons-junior-boys-mid-rise-cotton-cargo-shorts/28485056/buy,,699,14,4.1,"Product Details  Blue solid mid-rise cargo shorts, has 6 pockets, drawstring closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Knee Length Type Cargo Shorts Closure Drawstring Print or Pattern Type Solid Fit Regular Fit Number of Pockets 6 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24763392/2023/9/1/0ef0e05a-68e8-46a6-97ca-a442d0d7cfce1693555986764PantaloonsJuniorBoysBlueCargoShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24763392/2023/9/1/65ef9163-f9ec-4ebd-84fd-2a21969ec8451693555986722PantaloonsJuniorBoysBlueCargoShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24763392/2023/9/1/107d597a-61a3-4bd0-8ff3-1f02951b8a751693555986743PantaloonsJuniorBoysBlueCargoShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24763392/2023/9/1/8f498f56-91a4-456b-ba49-0cdde2a0989a1693555986785PantaloonsJuniorBoysBlueCargoShorts4.jpg']",4,"['Good 👍', 'Nice fabric\nMoney worthy\nExcellent fitting', 'Very good product 👍']",Westbury Holdings Pvt Ltd_Pantaloons
V-Mart,Boys Camouflage Printed Cotton Cargo Shorts,http://myntra.com//shorts/kiddopanti/kiddopanti-boys-mid-rise-pure-cotton-cargo-shorts/28241254/buy,499,474,6,4.2,"Product Details  Green camouflage printed mid-rise cargo shorts, has 6 pockets, button closure Material & Care Cotton Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Cargo Shorts Closure Button Print or Pattern Type Camouflage Fit Regular Fit Number of Pockets 6 Occasion Casual See More","['https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28167414/2024/3/9/2f2f526c-e052-4f3e-a571-911f7f6ba9411709997003623V-MartBoysCamouflagePrintedCargoShorts1.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28167414/2024/3/9/a9b7287c-1706-4de4-b8a0-f5dc90b292291709997003741V-MartBoysCamouflagePrintedCargoShorts2.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28167414/2024/3/9/8a0cac8b-b9b1-4459-98d1-0674f11a15de1709997003693V-MartBoysCamouflagePrintedCargoShorts3.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28167414/2024/3/9/7a6540ba-cfee-4e44-8018-4ffa1a25cd331709997003668V-MartBoysCamouflagePrintedCargoShorts4.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28167414/2024/3/9/db371f54-f906-46ed-ae93-a87e862a063c1709997003717V-MartBoysCamouflagePrintedCargoShorts5.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28167414/2024/3/9/436d16cc-7e71-485d-8cd9-95d77c5fd0591709997003644V-MartBoysCamouflagePrintedCargoShorts6.jpg', 'https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28167414/2024/3/9/ec9f3f41-d76d-44c1-80db-1f0ebb3ece771709997003764V-MartBoysCamouflagePrintedCargoShorts7.jpg']",7,['The product is very comfortable and my nephew is very happy after getting the capri..'],V-Mart Retail Limited
